candidate_name,candidate_party
Arbab Wazir Ahmad Memon,Independents
Molvi Haji Abdul Ghafoor Qasmi,Independents
Mian Ijaz Ahmad Shafi,Pakistan Muslim League (Nawaz)
Syed Masroor Ahsan,Pakistan Peoples Party Parliamentarians
Qamus Gul Khattak,Awami National Party
Qari Sher Afzal Khan,Islami Jamhoori Mahaz
Mustafa Kamal Rizvi,Independents
Shamsher Ahmad Khan,Haqiqi Group
Abdullah Baloch,National Peoples Party
Abdul Hameed,Independents
M. Arshad Qureshi,Independents
M. Irfan Khan,Haq Parast Group
Jamshed Ahmad Khan,Independents
Shafiq Ahmad Qureshi,National Democratic Alliance
M. Afaq Khan,Pakistan Peoples Party Parliamentarians
Alhaj Shamimuddin,Pakistan Muslim League (Nawaz)
Abdul Sattar Afghani,Pakistan Islamic Front
Qazi M. Haleem,Awami National Party
Ghulam Mujtaba,Jamiat Ulama-e-Islam (Sami)
Ali Asghar Alawi,Independents
Syed Shamoon Abrar,Haqiqi Group
A. K. Shams,Haq Parast Group
Aziz Ahmad,Pakistan Muslim League (Functional)
M. Younas,Ghareeb Qaumi Movement
Wazeer Ahmad Jogizai,Independents
Syed Khalid Hussain Rizvi,Ghareeb Awam Party
M. Abdul Haseeb Farooqi,Independents
M. Ahmad Siddiqi,Independents
Mustafa Kamal Rizvi,Independents
Dost M. Faizi,Pakistan Muslim League (Nawaz)
Niamatullah Khan,Pakistan Islamic Front
Tahir Khan,Pakistan Peoples Party Parliamentarians
Anwar Ahmad Qureshi,Haqiqi Group
Kunwar Khalid Younas,Haq Parast Group
Molana M. Asad Thanvi,Jamiat Ulama-e-Islam (Sami)
Ameer Ali Pattiwala,Ghareeb Qaumi Movement
Tanveer Hussaini,Ghareeb Awam Party
M. Zahid Qureshi,Independents
Hafiz M. Taqi,Pakistan Muslim League (Nawaz)
Shah Farid-Ul-Haq,Islami Jamhoori Mahaz
Abdul Hameed Qureshi,Pakistan Peoples Party Parliamentarians
Dr. Shiraz Allauddin Shirazi,Haqiqi Group
Raisa Mohani,Haq Parast Group
M. Siddiq Rathor,Independents
Ahtasham Ghazi,Tameer-e-Pakistan Party
Dr. Saghir Ahmad,Independents
Saleem Fahmi (Rtd),Ghareeb Awam Party
Muzaffar Ahmad Hashmi,Pakistan Islamic Front
Hamza Ali Qadri,Pakistan Muslim League (Nawaz)
Syed Saeed Hassan,Pakistan Peoples Party Parliamentarians
Molana M. Asad Thanvi,Jamiat Ulama-e-Islam (Sami)
Syed Irshad Ali Jaferi,Haqiqi Group
Farooq Ahmad,Haq Parast Group
Farhan Zia,Independents
M. Saghir Qureshi,Independents
Syed Mazhar Taqi Rizvi,Independents
Badar Iqbal,Independents
S. M. Haider,Awami Tehreek-e-Inqilab Pakistan
M. Saleem,Independents
Syed M. Abid Shah,Independents
Syed Tahawar Ali,Independents
Ahmad,Pakistan Peoples Party Parliamentarians
M. Younas Baloch,Pakistan Muslim League (Nawaz)
Mir Murtaza Bhutto,Shaheed Bhutto Committee
Pir Mukhtar Ahmad Jan,Islami Jamhoori Mahaz
"Abdul Aziz Khan Khilji, Adv.",Jamiat Ulama-e-Islam (Sami)
M. Ishaq Shehzad,Independents
M. Yousaf Khan,Independents
M. Yousaf Haji Hashim,Independents
Abdur Rahim Baloch,Independents
M. Ayub,Haq Parast Group
Syed Abbas Shah,Pakistan Muslim League (Nawaz)
Molvi Ali Akbar,Islami Jamhoori Mahaz
Ahmad Nawaz Khan,Independents
Haji Molvi Noor Ahmad Shah,Jamiat Ulama-e-Islam (Sami)
Khaliq Dad Khan,Independents
Molvi Hafizur Rahman Madni,Independents
Zafar Ali Khan,Independents
Haji Umer Daraz Alias Madaraz,Independents
Abdul Aziz Memon,Pakistan Peoples Party Parliamentarians
Haji M. Hanif Tayyab,Pakistan Muslim League (Nawaz)
Molana Shah Ahmad Noorani Siddiqi,Islami Jamhoori Mahaz
Hukam Khan,Independents
Haji M. Asheqeen,Haqiqi Group
Dr. M. Farooq Sattar,Haq Parast Group
Abdul Razzaq S/O Faqir Muhammad,Independents
Abdul Razzaq S/O Abdul Sattar,Independents
Shajar Ali Hoti,Independents
Abdul Habib Memon,Tehreek Inqilab Islami
"Prof. Umer Farooq Khan, Adv.",Independents
M. Dilawar,Independents
Abdul Qadir Lakhani,Independents
M. Ayub,Independents
M. Ali Khan,Independents
Iftikhar Hussain,Independents
M. Nazeer,Independents
Haleem Ahmad Siddiqi,Pakistan Muslim League (Nawaz)
Mian M. Akhtar Paganwala,Pakistan Peoples Party Parliamentarians
Qazi Hussain Ahmad,Pakistan Islamic Front
Abdul Karim Mando Khail,Awami National Party
Raja Arif Sultan Minhas,Independents
M. A. Jalil,Haq Parast Group
Shahzad Tariq,Independents
Qamr-Ul-Islam,Independents
Mir Afzal,Independents
Khalid Mehmood Shah,Independents
Mushtaq Mirza (Rtd),National Democratic Alliance
Umer Farooq Khan,Independents
Abdul Qadir Lakhani,Independents
Javed Siddiqui,Independents
M. Kamil Sheikh,Independents
M. Yousaf Qureshi,Pakistan Ittehad Tehreek
Shah Baleeguddin (Rtd),Independents
Zuhair Akram Nadeem,Pakistan Muslim League (Nawaz)
Sheikh M. Saeed Chawla,Pakistan Peoples Party Parliamentarians
Muzaffar Hassan,Pakistan Islamic Front
Ghulam Murtaza Durrani,Haqiqi Group
Ijaz Mehmood,Haq Parast Group
Iqbal Haider,Independents
Masood Naqvi,Independents
Arshad Hussain,Independents
M. Arif,Ghareeb Qaumi Movement
Haleem Ahmad Siddiqi,Independents
Syed Abdul Bari Jilani,Independents
Shahejehan,Independents
M. Zada,Jamiat-e-Mashaikh Pakistan
Hassan Mussana Alvi,Independents
Abu Bakar Shaikhani,Pakistan Muslim League (Nawaz)
Syed Munawar Hassan,Pakistan Islamic Front
M. Zaman Mahsood,Pakistan Peoples Party Parliamentarians
Tahseen Zafar,Haqiqi Group
Khalid Bin Waleed,Haq Parast Group
Inbisat Malik,Independents
Kh. M. Sharif-Ul-Islam,Independents
Abdul Jabbar,Independents
Raeesuddin,Independents
Syed M. Saeed,Independents
M. Haneef Shaikhani,Independents
Mehmood Hussain,Independents
Molana M. Asad Thanvi (Rtd),Jamiat Ulama-e-Islam (Sami)
Syed Abid Ali Jafri,Independents
Mohsin,Independents
Mushtaq Mirza (Rtd),National Democratic Alliance
Azmat Khan (Rtd),Ghareeb Awam Party
"Dr. M. R. Zia Rana, Adv.",Independents
Rashid Naseem,Independents
M. Javed Siddiqi,Independents
Dr. Saleem Haider,Independents
M. Zahid Qureshi,Independents
Muzaffar Ali Shujra,Pakistan Peoples Party Parliamentarians
Mansoor Ahmad Sootwala,Pakistan Muslim League (Nawaz)
M. Ahmad Siddiqi,Islami Jamhoori Mahaz
Haji Shaukat Islam,Independents
M. Naim,Haqiqi Group
Rana Zulqarnain Khan,Independents
"M. Arif Khan, Adv.",Haq Parast Group
M. Younas Khan,Independents
Khalil Ahmad Nanitalwala,Independents
M. Aleem-Ur-Rehman,Independents
"Qazi Khalid Ali, Adv.",Independents
Tanveer Hussain Farooqi,Independents
Prof. N. D. Khan,Pakistan Peoples Party Parliamentarians
Dr. Rahim-Ul-Haq,Pakistan Muslim League (Nawaz)
Syed Mehtab Haider,Haqiqi Group
Sheikh-Ul-Hadis Molana Abdul Shakoor Khairpuri,Islami Jamhoori Mahaz
M. Zaman Yusufzai,Awami National Party
Sheikh Masood Abdur Rehman,Jamiat Ulama-e-Islam (Sami)
Haji Jalal Khan,Haq Parast Group
Mufti Abdul Aleem Qadri,Independents
Syed Ahsraf Ali,Independents
"Qazi Khalid Ali, Adv.",Independents
Khalil Ahmad Nanitalwala,Independents
Sitara Begum,Independents
Azmat Hussain,Independents
M. Younas,Independents
M. Ali Sheikh,Independents
Sher M. Baloch,Pakistan Peoples Party Parliamentarians
Aleem Adil Sheikh,Pakistan Muslim League (Nawaz)
M. Usman Razi Khan,Pakistan Islamic Front
Ijaz Ahmad Khan,Haqiqi Group
Aziz Ahmad,Independents
Shakeel Ahmad Khan,Independents
Hameed-Ur-Zafar,Independents
M. Kamal,Independents
Altaf Azad,Haq Parast Group
Fatehyab Ali Khan,Mazdoor Kissan Party (Fatehyab Group)
Pir Mukhtar Ahmad Jan,Islami Jamhoori Mahaz
Haider Ali Molji,Independents
Sohail Anwar,Independents
Mustafa Hussain Alias Jamal,Independents
Azim Adil,Independents
Ch. Abdul Razzaq,Jamiat-e-Mashaikh Pakistan
Mehmood Khan Achakzai,Paktunkhwa Milli Awami Party
Sardar Fateh M. M. Hasni,Pakistan Peoples Party Parliamentarians
Molvi M. Saddiq Shah,Islami Jamhoori Mahaz
M. Yousaf Notezai,Jamhoori Wattan Party
Abdul Majeed Khan,Pakistan Islamic Front
Nabi Dad,Pakistan Muslim League (Nawaz)
Molvi Ameer Hamza Badani,Jamiat Ulama-e-Islam (Sami)
Moheem Khan,Independents
Fazila Alayani,Independents
Haq Parat M. Saddiq Kurd,Haq Parast Group
Mir Akram Khan,Pakistan National Party
M. Ismail Baloch,Independents
Arbab Abdul Zahir Kasi,Awami National Party
Mir Abdul Khaliq M. Hasni,Independents
Habib Jalib,Balochistan National Movement (Mengal)
Nasir Hussain,Independents
Mehmood Khan Achakzai,Paktunkhwa Milli Awami Party
Molvi Abdul Ghani,Islami Jamhoori Mahaz
Nasrullah Khan Kakar,Jamiat Ulama-e-Islam (Sami)
Haji Jilani Khan,Awami National Party
Abdul Haleem Tareen,Pakistan Islamic Front
Haji Abdul Salam Kakar,Pakistan Peoples Party Parliamentarians
Mehmood Khan Kakar,Independents
Dr. Azam Jan,Independents
Haji Gul Muhammad,Islami Jamhoori Mahaz
Sardar M. Yaqoob Khan,Pakistan Muslim League (Nawaz)
Mir Baz M. Khan Khetran,Pakistan Peoples Party Parliamentarians
Mir Sohrab Khan,Awami National Party
M. Azeem Khan,Independents
Abdul Hadi,Independents
Muzaffar Khan,Independents
Dur M. Khan,Independents
Said Ahmad,Jamiat Ulama-e-Islam (Sami)
Mir Haji Tareen,Independents
Wazeer Muhammad,Independents
Mir Shah Jehan Khan Khetran,Independents
Abdul Sattar,Independents
Zarghoon Khan,Independents
Lal M. Khan,Independents
Arbab M. Jehangir Khan,Pakistan Peoples Party Parliamentarians
Abdur Rehman Khan,Awami National Party
M. Azam Khan Chishti,Pakistan Islamic Front
Arbab M. Humayum,Paktunkhwa Milli Awami Party
"Mursalin Khan, Adv.",Independents
Arbab Mushtaq Ahmad,Haq Parast Group
M. Kabir Khan,Pakistan Muslim League (Nawaz)
"Amir Nawaz, Adv.",Islami Jamhoori Mahaz
Khuaja Attaullah,Independents
Ahmad Jan,Jamiat Ulama-e-Islam (Sami)
Haji Amir Nawaz Khan,Independents
Munawar Khan,Independents
Mufti M. Anwar Shah,Independents
Nawab M. Ayyaz Khan Jogezai,Paktunkhwa Milli Awami Party
Molvi M. Khan Sherani,Islami Jamhoori Mahaz
Molvi M. Shafiq,Jamiat Ulama-e-Islam (Sami)
Malik M. Shafiq Jalalzai,Independents
M. Anwar Mandokhel,Pakistan Peoples Party Parliamentarians
Haji Ahmad Dir Mandokhel,Pakistan Muslim League (Haqiqi)
Sardar Yar M. Khan,Jamhoori Wattan Party
Dr. Abdul Hayee,Balochistan National Movement (Dr. Abdul Hayee Group)
Sardar Dhani Bakshah,Balochistan National Movement (Mengal)
Molana M. Abdul Malik Shah,Islami Jamhoori Mahaz
Fazal Haq,Pakistan Muslim League (Qaid-e-Azam)
Sardar Chakar Khan (Rtd),Independents
Mir Nabi Bakhsh (Ret),Independents
Nawab Zulfiqar Ali Magsi (Rtd),Pakistan Muslim League (Nawaz)
Saleh Muhammad (Rtd),Independents
M. Murad Abra (Rtd),Independents
Nawab M. Akbar Khan Bugti,Jamhoori Wattan Party
Molvi Attaullah,Islami Jamhoori Mahaz
Abdur Rahim Ziaratwal,Paktunkhwa Milli Awami Party
Ajab Khan,Pakistan Peoples Party Parliamentarians
Abdul Malik Panezai,Awami National Party
Mir Zafarullah Khan Jamali,Independents
Mir Nabi Bakshah Khoso,Pakistan Peoples Party Parliamentarians
Mir Abdul Rahim Khan Rind,Balochistan National Movement (Dr. Abdul Hayee Group)
Molvi Abdullah,Islami Jamhoori Mahaz
Molvi Abdul Ghafoor Haideri,Islami Jamhoori Mahaz
M. Akhtar Mengal,Balochistan National Movement (Mengal)
Mir Abdul Karim Nowsherwani,Independents
Mir Abdullah Jan,Balochistan National Movement (Dr. Abdul Hayee Group)
Prince Mohyuddin Baloch,Independents
Mir Abdul Khaliq M. Hussani,Independents
Mir Husssain Bakshah Bangulzai,Pakistan Muslim League (Nawaz)
Sardar Sanaullah,Pakistan National Party
M. Ayub,Balochistan National Movement (Mengal)
Mir Hasil Khan,Pakistan National Party
Mir Gohar Khan,Islami Jamhoori Mahaz
Mir Khair Jan Baloch,Pakistan Peoples Party Parliamentarians
Abdul Majeed,Balochistan National Movement (Dr. Abdul Hayee Group)
Rustam Khan,Independents
Ghulam Akbar Lasi,Pakistan Peoples Party Parliamentarians
Jam M. Yousaf,Pakistan Muslim League (Nawaz)
Abid Rahim Rorabi,Balochistan National Movement (Mengal)
Haji M. Razman,Islami Jamhoori Mahaz
Amanullah Gichki,Independents
Dr. M. Yaseen,Balochistan National Movement (Dr. Abdul Hayee Group)
Mir Bizen Bizenjo,Pakistan National Party
Waja M. Hussain,Pakistan Muslim League (Nawaz)
M. Ismail,Islami Jamhoori Mahaz
Dr. M. Haider Baloch,Pakistan Peoples Party Parliamentarians
Molana Abdul Haq,Pakistan Islamic Front
Qazi Ghulam Rasool,Balochistan National Movement (Mengal)
Amanullah Gichki,Independents
Sardar Ahmad Jan,Independents
Manzoor Khan,Jamhoori Wattan Party
Mian Gul Aurangzeb,Pakistan Muslim League (Nawaz)
Obaid-Ur-Rehman,Islami Jamhoori Mahaz
Haji Khaliq Dad Khan,Pakistan Islamic Front
Abdul Wadood Khan Alias Ayeen Khan,Independents
M. Afzal Khan,Paktunkhwa Qaumi Party
Shujaat Ali Khan,Pakistan Muslim League (Nawaz)
Sarenzeb Khan,Pakistan Islamic Front
Abdul Jabbar Khan,Independents
Abdul Matin Khan,Awami National Party
Haji Fazl-E-Raziq,Pakistan Islamic Front
Fanoos,Independents
Molana Abdur Rehman,Islami Jamhoori Mahaz
M. Sehrab Khan,Independents
Molana Abdur Rahim,Pakistan Islamic Front
Zauja M. Sulaiman Khan,Pakistan Peoples Party Parliamentarians
Shahzada Mohyuddin,Pakistan Muslim League (Nawaz)
Ghulam Nabi Khan,Independents
Syed Qasim Ali Jan,Independents
Sahabzada Fatehullah,Pakistan Islamic Front
Najmuddin,Pakistan Peoples Party Parliamentarians
Akhunzada Bahrawar Saeed,Pakistan Muslim League (Nawaz)
Liaqat Ali,Independents
Baroz,Independents
Abdur Rehman Khan,Independents
Haji Tahir Akbar,Independents
Gul M. Khan,Independents
Haji Zahir Shah,Independents
Bakht Jamal,Independents
Nayar Zaman,Independents
Haji Firdus,Independents
Jan Said,Independents
Said Qahar,Independents
Ajaml Khan,Independents
Malik Raham Din,Independents
Fazl-E-Manan,Independents
Said Mehmood Jan,Independents
"M. Iqbal Khan Mohmand, Adv.",Independents
Zarif Khan,Independents
Malik Noor Jan,Independents
M. Akram Khan,Independents
Abdur Rahim Khan,Independents
Haji Haya Khan,Independents
Dr. Bakht M. Khan,Independents
Haji M. Iqbal,Independents
Malik Jan M. Khan,Independents
Haji Sher Ali,Independents
Malik Zareen Khan,Independents
Malik Ismail Sher,Independents
Malik Khaista Gul,Independents
Malik M. Afzal,Independents
Zulfiqar Ali,Independents
Haji Kamal Hussain,Independents
Haji Barang,Independents
Sardar Syed Mian,Independents
Syed Yousaf Hussain,Independents
Malik M. Alam Khan,Independents
Mardan Ali,Independents
Zawar Hussain (Retired),Independents
Haji Baz Gul (Retired),Independents
Akhunzada M. Saeed,Independents
Fakhr-Uz-Zaman Khan,Independents
Haji Gul Akbar,Independents
Malik Noor Ahmad Khan,Independents
Hameed Khan,Independents
Malik Amanullah Khan,Independents
Abdul Manan Bangash,Independents
Haji Lal Baz Khan,Independents
Haji Shundi Gul (Retired),Independents
Malik Hussain Jan,Independents
Malik Mehboob Ali Khan Bangash,Independents
"Mir Zaman Bangash, Adv.",Independents
"Mohabat Khan Bangash, Adv. (Retired)",Independents
Sohbat Khan,Independents
Syed Zahir Shah,Independents
Haji Mir Akbar Jan,Independents
Haji Zarin,Independents
Malik Khaista Jan,Independents
Malik M. Khan,Independents
Syed Askar Ali Shah,Independents
M. Afzal,Independents
Alhaj Ghazi Said Jamal,Independents
M. Azad Gul,Independents
Col. Amanullah Khan,Independents
Malik Spin Gul,Independents
Syed Munir Said,Independents
Hakim Jan,Independents
Said Ahmad,Independents
Khial Shah,Independents
Gul Azam,Independents
Arbab M. Zahir,Awami National Party
Sardar Ali,Pakistan Peoples Party Parliamentarians
"Abdul Haseeb, Adv.",Pakistan Islamic Front
Arsala Khan,Independents
M. Ajmal Khan,Independents
M. Sharif,Independents
Sahib Gul,Independents
Pir Sahib Khan,Independents
Qadir Khan,Independents
Jan Muhammad,Independents
Khalifa Abdul Latif,Independents
Naimatullah,Independents
Shair Khan,Independents
Shirin Akbar,Independents
Abdul Qayoom Khan,Independents
Molvi M. Saleh Shah,Independents
Lal Muhammad,Independents
Makhamadi (M. Khan),Independents
M. Akram Khan,Independents
Bismillah Khan,Independents
Molvi M. Sharif,Independents
Mian Shah Jehan,Independents
Burhanuddin,Independents
Hafiz M. Jan,Independents
Molvi M. Sadiq,Independents
M. Akbar,Independents
M. Rahim Alias Bahadar,Independents
Malik Ali Khan,Independents
Alif Muhammad,Independents
M. Ihsanullah,Independents
Haji M. Shah,Independents
Haji Taj Muhammad,Independents
Haji Gul Sher Khan,Independents
"Abdul Latif Afridi, Adv.",Independents
Malik M. Daood,Independents
Haji Zar Faqir,Independents
Haji Gul Muhammad,Independents
Malik Waris Khan,Independents
Malik M. Ishaq,Independents
Haji M. Gulab,Independents
Ali Akbar,Independents
Haji Jamal Gul,Independents
Haji Shahji Gul,Independents
M. Sattar,Independents
Sultan Muhammad,Independents
Ghazi Khan,Independents
Haji Abdul Latif,Independents
Shakirullah Jan,Independents
Bakhmal Khan,Independents
Haji M. Hasham,Independents
Haji M. Nasim,Independents
Khiali Khan,Independents
Mehmood Khan,Independents
M. Munir Afridi,Independents
Haji Said Jan,Independents
Malik M. Zaman,Independents
Malik Shah Wali,Independents
Haji M. Nawaz Khokhar,Pakistan Muslim League (Nawaz)
Syed Nayyar Hussain Bukhari,Pakistan Peoples Party Parliamentarians
Maj. (R) Tariq Mehmood,Pakistan Islamic Front
Ch. M. Aslam,Independents
Mian Mumtaz Rabbani,Independents
M. Ashraf,Independents
Syed Liaqat Hussain Banori (Retired),Awami National Party
Fauzia Saleem Abbas,Independents
Wasal Ahmad Shahid,Haq Parast Group
M. Riaz,National Democratic Alliance
Arshad Ali Khan,Pakistan National League
Shahid Khaqan Abbasi,Pakistan Muslim League (Nawaz)
Col. (R) Habib Khan,Pakistan Peoples Party Parliamentarians
Raja Imtiaz Ahmad Taj,Pakistan Islamic Front
Raja M. Iftikhar,Independents
M. Aziz Abbasi,Independents
Ch. M. Riaz,Pakistan Muslim League (Nawaz)
Raja Abdul Aziz Bhatti,Pakistan Peoples Party Parliamentarians
Raja M. Zaheer Khan,Pakistan Islamic Front
Malik Mehboob Hussain,Independents
Sheikh Rashid Ahmad,Pakistan Muslim League (Nawaz)
Aga Riaz-Ul-Islam,Pakistan Peoples Party Parliamentarians
M. Akmal Mirza,Pakistan Islamic Front
Haji M. Shafi,Islam Public Party
Qari Abdul Malik,Islami Jamhoori Mahaz
Raja Abid Hussain,Independents
Haji M. Saleem Khan Scheema,Haq Parast Group
A.z. Malik Abdul Hamid Khan,Awami Falahi Tehreek Pakistan
Raja Ijaz Hussain,Independents
M. Ijaz-Ul-Haq,Pakistan Muslim League (Nawaz)
Raja Shahid Zafar,Pakistan Peoples Party Parliamentarians
Raja Shoaib Adil,Pakistan Islamic Front
Sardar Aftab Ahmad Mughal,Islami Jamhoori Mahaz
M. Inam-Ul-Haq,Independents
Maj. Gen. (R) Naseerullah Khan Babar,Pakistan Peoples Party Parliamentarians
M. Ajmal Khan Khattak,Awami National Party
Mirajuddin,Pakistan Islamic Front
Mian Muzaffar Shah,Independents
Ch. Nisar Ali Khan,Pakistan Muslim League (Nawaz)
Khan Ghulam Sarwar Khan,Pakistan Peoples Party Parliamentarians
Dr. M. Kamal,Pakistan Islamic Front
Aftab Ahmad Sheikh,Pakistan Muslim League (Nawaz)
Malik M. Aslam Khan,Pakistan Peoples Party Parliamentarians
Haji Mujadad Khan,Pakistan Islamic Front
Maqbool Illahi Saddiqui,Independents
Malik Lal Khan,Pakistan Muslim League (Nawaz)
Amir M. Khan,Pakistan Peoples Party Parliamentarians
Malik Allah Yar Khan,Independents
Sarfraz Hussain,Pakistan Islamic Front
Lt. Gen. (R) Malik Abdul Majid,Pakistan Muslim League (Nawaz)
Sardar M. Ashraf Khan,Pakistan Peoples Party Parliamentarians
"M. Sana-Ul-Haq, Adv.",Independents
Sahabzada Pir Abdul Rahim Naqshbandi,Jamiat Ulama-e-Islam (Sami)
Sardar Mumtaz Khan,Pakistan Peoples Party Parliamentarians
Sardar Mansoor Hayat Tamman,Pakistan Muslim League (Nawaz)
Fouzia Behraam,Independents
Maj. Gen. (R) Tajmal Hussain Malik,Pakistan Islamic Front
Raja M. Afzal Khan,Pakistan Muslim League (Nawaz)
Dr. Ghulam Hussain,Pakistan Peoples Party Parliamentarians
Molvi Rashid Ahmad Shahd,Pakistan Islamic Front
Mehdi Hassan Kiani,Independents
Nawabzada Iqbal Mehdi Khan,Pakistan Muslim League (Nawaz)
Shahid Nawaz,Pakistan Peoples Party Parliamentarians
Raja Irshad-Ul-Haq Kiani,Pakistan Islamic Front
Brig. (R) Ghulam Hussain Cheema,Pakistan Muslim League (Nawaz)
Ihsan-Ul-Haq Paracha,Pakistan Peoples Party Parliamentarians
Dr. Mobashar Ahmad Gujjar,Pakistan Islamic Front
Dr. Tasaduq Hussain Cheema,Independents
Inam-Ul-Haq Paracha,Independents
Liaqat Hayat Badrana,Pakistan Peoples Party Parliamentarians
Ch. Qadir Bakhsh Mela,Pakistan Muslim League (Nawaz)
Dr. Khalid Ranjha,Pakistan Islamic Front
"Rao Abdul Ghaffar Khan, Adv.",Independents
Ch. Hafeezullah Cheema,Independents
Ahmad Zia-Ur-Rehamn Khan Lak,Pakistan Muslim League (Nawaz)
Mumtaz Ahmad Kahloon,Pakistan Peoples Party Parliamentarians
Haji Javed Iqbal Cheema,Pakistan Islamic Front
Malik M. Aslam Kachela,Independents
Anwar Kamal Pasha,Independents
Rao Aftab Ahmad,Independents
Ch. Abdul Hameed,Independents
Iftikhar Ahmad Kahloon,Independents
M. Javed Iqbal,Independents
Malik M. Akram Kachela,Independents
Asfandyar Wali Khan,Awami National Party
Maj. (R) Mukhtar Ahmad Khan,Pakistan Peoples Party Parliamentarians
Ihsanullah Khan,Independents
Ch. Anwar Ali Cheema,Pakistan Muslim League (Nawaz)
Riaz Ameer Alias Abdul Haq,Pakistan Peoples Party Parliamentarians
Ch. Sultan Ahmad Jaja,Pakistan Islamic Front
Malik M. Naeem Khan,Pakistan Muslim League (Nawaz)
Malik M. Bashir Awan,Pakistan Peoples Party Parliamentarians
Qari Amanullah,Islami Jamhoori Mahaz
Sardar Shujah M. Khan,Pakistan Muslim League (Nawaz)
Malik Ghulam M. Khan Tiwana,Pakistan Muslim League (Haqiqi)
Ubaidullah Khan,Independents
Gul Hameed Rokhri,Independents
Molana M. Abdul Sattar Khan Niazi,Pakistan Muslim League (Nawaz)
M. Maqbool Ahmad Khan,Independents
Sadaqatullah Khan,Pakistan Peoples Party Parliamentarians
Haji Adam Khan,Independents
Haq Dad Khan,Independents
Dr. Sher Afghan Khan Niazi,Independents
Molana Abdul Sattar Khan Niazi,Pakistan Muslim League (Nawaz)
Humair Hayat Khan,Independents
Dr. M. Shakir,Pakistan Islamic Front
Haji Adam Khan,Independents
Sadar Rafiq Khan,Independents
M. Zafarullah Khan,Pakistan Muslim League (Nawaz)
Bashir Ahmad Khan,Independents
M. Afzal Malik,Pakistan Peoples Party Parliamentarians
